Power,Power ratio,J_solved,V_cells,V_stack,I_stack,current_T,current_SOH,L_pem_m,h2_in_o2_percent,h2_gen_rate,V_tn,Degradation_cost
33750.0,0.25000000000000006,0.3108669068741129,1.7398615698724433,83.51335535387727,40.41269789363468,313.15,1.0,8.481190120094124e-05,0.37429730748452633,0.20227618216322593,1.48463232,67.48357729527483
40500.0,0.3,0.3687911447104734,1.7599079339282986,84.47558082855834,47.94284881236155,313.15,1.0,8.481190120094124e-05,0.3156010127865395,0.2400373701252595,1.48463232,67.88520897411152
47250.0,0.3500000000000005,0.42577367856222414,1.7784367061358348,85.36496189452006,55.350578213089136,313.15,1.0,8.481190120094124e-05,0.2734209517938356,0.2771846551254983,1.48463232,68.2803111211592
54000.0,0.40000000000000013,0.481893342123135,1.7958011446514024,86.19845494326731,62.64613447600755,313.15,1.0,8.481190120094124e-05,0.24161774303428873,0.3137694293624309,1.48463232,68.66943034885439
60750.0,0.45000000000000007,0.5372127064652743,1.8122387661182837,86.98746077367761,69.83765184048566,313.15,1.0,8.481190120094124e-05,0.21676417330974224,0.3498324833255246,1.48463232,69.0530005088223
67500.0,0.500000000000002,0.5917832852805198,1.8279170705505927,87.74001938642846,76.93182708646758,313.15,1.0,8.481190120094124e-05,0.1967951959852309,0.3854073991260727,1.48463232,69.4313787836746
74250.0,0.5500000000000002,0.6456486588518225,1.8429587513894787,88.46202006669498,83.93432565073694,313.15,1.0,8.481190120094124e-05,0.18039171486628994,0.42052258703441175,1.48463232,69.80486734781807
81000.0,0.6,0.6988464690427598,1.857456509517684,89.15791245684883,90.85004097555878,313.15,1.0,8.481190120094124e-05,0.16667132366174436,0.4552025860266053,1.48463232,70.17372720019597
87750.0,0.6500000000000001,0.7514097592335758,1.8714822142240335,89.83114628275361,97.68326870036485,313.15,1.0,8.481190120094124e-05,0.15502121864195456,0.48946893729747815,1.48463232,70.53818745505778
94500.0,0.7,0.8033679124414564,1.8850928117364119,90.48445496334777,104.43782861738934,313.15,1.0,8.481190120094124e-05,0.14500242599470714,0.523340795827334,1.48463232,70.89845184664267
101250.0,0.7500000000000001,0.8547473312452623,1.898334273219935,91.12004511455689,111.1171530618841,313.15,1.0,8.481190120094124e-05,0.13629217546639172,0.556835373629317,1.48463232,71.25470344360149
108000.0,0.8,0.9055719451669638,1.9112443136145547,91.73972705349863,117.72435287170529,313.15,1.0,8.481190120094124e-05,0.1286477894833818,0.5899682705146763,1.48463232,71.60710816704845
114750.0,0.8499999999999999,0.9558635988256228,1.9238543134727988,92.34500704669435,124.26226784733096,313.15,1.0,8.481190120094124e-05,0.12188326030586451,0.6227537271328731,1.48463232,71.95581748192048
121500.0,0.8999999999999996,1.0056423552954223,1.9361907087171062,92.9371540184211,130.7335061884049,313.15,1.0,8.481190120094124e-05,0.11585359919676642,0.6552048227326576,1.48463232,72.30097050038309
128250.0,0.9499999999999981,1.0549267376249034,1.9482760159874244,93.51724876739637,137.14047589123743,313.15,1.0,8.481190120094124e-05,0.11044410503983514,0.6873336326100322,1.48463232,72.64269565646264
135000.0,0.999999999999996,1.103733924257404,1.96012960271844,94.08622093048513,143.4854101534625,313.15,1.0,8.481190120094124e-05,0.1055628372231246,0.7191513555041089,1.48463232,72.9811120610407
0.0,0.0,0.0,0.0,0.0,0.0,318.15,1.0,8.481190120094124e-05,0.0,0.0,1.48576478,0.0
6750.0,0.05,0.06725079284940932,1.6085026263601445,77.20812606528693,8.742603070423213,318.15,1.0,8.481190120094124e-05,0.0,0.0,1.48576478,80.3614691915725
13500.0,0.1,0.13130651294023363,1.6476422151628338,79.08682632781603,17.06984668223037,318.15,1.0,8.481190120094124e-05,1.0271204515592074,0.08515769646880297,1.48576478,80.90395008503494
20250.0,0.15000000000000002,0.1935147629675478,1.6769740240627138,80.49475315501026,25.156919185781213,318.15,1.0,8.481190120094124e-05,0.6980895215389676,0.12571165988402855,1.48576478,81.43078495642038
