time,P_stack,T_stack,H2,Q_delivered,W_pump,degradation_cost,y_on,y_off,y_standby,y_cold_start,wind,price,window_H2_max,active_mode
92,13500.0,324.3585530289458,51.510123045266226,0.0,0.0,98.8284000401365,1.0,0.0,0.0,0.0,20421.51555,197.82000600000003,35426.46438561524,515.0
93,0.0,324.0673116193954,0.0,0.0,0.0,92.625,0.0,0.0,1.0,0.0,17813.11416,197.82000600000003,35426.46438561524,505.0
94,0.0,323.77930661738515,0.0,0.0,0.0,92.625,0.0,0.0,1.0,0.0,13655.409176,197.82000600000003,35426.46438561524,505.0
95,0.0,323.4945020584763,0.0,0.0,0.0,92.625,0.0,0.0,1.0,0.0,15972.8189,197.82000600000003,35426.46438561524,505.0
96,0.0,323.2128623778839,0.0,0.0,0.0,92.625,0.0,0.0,1.0,0.0,16801.898254,198.17999399999997,35426.46438561524,505.0
97,16200.0,316.34870334497236,61.41369596710512,1897.2744183686445,337.8829893317701,99.0903032119401,1.0,0.0,0.0,0.0,23349.685777,198.17999399999997,38017.22712450015,517.0
98,18900.0,323.0294662617771,70.60892536968714,0.0,0.0,81.3264660288144,1.0,0.0,0.0,0.0,25710.4053997,198.17999399999997,38017.22712450015,418.0
99,0.0,322.7529942713189,0.0,0.0,0.0,92.625,0.0,0.0,1.0,0.0,19550.700454,198.17999399999997,38017.22712450015,505.0
100,0.0,322.4795945638714,0.0,0.0,0.0,92.625,0.0,0.0,1.0,0.0,13433.0000873,198.17999399999997,38017.22712450015,505.0
101,0.0,322.20923299882253,0.0,0.0,0.0,92.625,0.0,0.0,1.0,0.0,7048.0114253,198.17999399999997,38017.22712450015,505.0
102,0.0,321.94187581494674,0.0,0.0,0.0,37050.0,0.0,1.0,0.0,0.0,5863.9423703,200.849991,38017.22712450015,505.0
103,0.0,321.67748962618845,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8751.34638,200.849991,40580.98444306265,505.0
104,0.0,321.4160414174932,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11577.423683,200.849991,40580.98444306265,505.0
105,0.0,321.1574985406849,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12991.39152,200.849991,40580.98444306265,505.0
106,0.0,320.90182871038877,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13963.04321,200.849991,40580.98444306265,505.0
107,0.0,320.64900000000006,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12894.84788,200.849991,40580.98444306265,505.0
108,0.0,320.3989808376969,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12947.778073,197.66999700000002,40580.98444306265,505.0
109,0.0,320.15174000249783,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13655.04697,197.66999700000002,43283.02058631034,404.0
110,0.0,319.90724662036376,0.0,0.0,0.0,92.625,0.0,0.0,1.0,0.0,17256.114893,197.66999700000002,43283.02058631034,404.0
111,13500.0,314.15,51.09461788128174,1679.916287778803,353.56924799851765,80.90395008503491,1.0,0.0,0.0,0.0,20729.17779,197.66999700000002,43283.02058631034,414.0
112,18900.0,319.6740081796766,69.99662517009138,2994.838832977767,727.2909886293087,66.57296631205608,1.0,0.0,0.0,0.0,26917.94413,197.66999700000002,43283.02058631034,317.0
113,27000.0,330.65099999999995,99.20212466180755,0.0,0.0,81.94555448951249,1.0,0.0,0.0,0.0,34367.57771,197.66999700000002,43283.02058631034,424.0
114,36450.0,340.649,134.19261252463463,5279.496528948118,769.2694927798511,123.38146683999848,1.0,0.0,0.0,0.0,43957.7701,175.71,43283.02058631034,633.0
115,39150.0,345.65099999999995,146.1961323406279,4658.5900933001285,377.10995299271246,184.6472310279817,1.0,0.0,0.0,0.0,46739.16853,175.71,45760.2726277192,837.0
116,41850.0,340.649,157.11109130112493,4564.297855050103,221.68623318520102,226.17481409999553,1.0,0.0,0.0,0.0,48689.21135,175.71,45760.2726277192,940.0
117,44550.0,340.649,166.6334700838992,5020.78814095344,243.85779498535337,226.73525509151796,1.0,0.0,0.0,0.0,52270.21546,175.71,45760.2726277192,942.0
118,45900.0,340.649,171.37424360135748,5254.138854966311,255.19155155502023,227.0142740080427,1.0,0.0,0.0,0.0,52793.68242,175.71,45760.2726277192,943.0
119,43200.0,340.649,161.8791705015435,4790.8200049165225,232.68832895801268,226.4554400964718,1.0,0.0,0.0,0.0,50100.69503,175.71,45760.2726277192,941.0
120,40500.0,340.649,152.32896581418336,4341.28837940195,210.85474668036088,225.89336140727818,1.0,0.0,0.0,0.0,47806.7794,165.02999400000002,45760.2726277192,939.0
121,41850.0,340.649,155.6756084293575,5144.140063216726,416.41491923006566,185.1040139715948,1.0,0.0,0.0,0.0,49491.609,165.02999400000002,47501.86005243098,839.0
122,37800.0,340.649,142.72143711839993,3906.092255737908,189.7174343454226,225.32790890521161,1.0,0.0,0.0,0.0,45669.5659,165.02999400000002,47501.86005243098,937.0
123,29700.0,340.649,113.52898701006612,2692.998923102105,130.79794662694184,223.60978299813465,1.0,0.0,0.0,0.0,37564.8613,165.02999400000002,47501.86005243098,931.0
124,18900.0,337.3845705396005,73.6130368371858,1323.7899090732315,64.29597887577015,221.26052393138585,1.0,0.0,0.0,0.0,25694.34969,165.02999400000002,47501.86005243098,923.0
125,16200.0,340.649,62.92407441483516,1228.9811102824613,99.48525185636841,180.63464052360806,1.0,0.0,0.0,0.0,23752.80335,165.02999400000002,47501.86005243098,820.0
126,17550.0,332.0370770806826,68.5305024158847,1175.906248127171,57.11332498553456,220.96139062704026,1.0,0.0,0.0,0.0,24552.913193,157.620003,47501.86005243098,922.0
127,13500.0,323.321811116481,52.3286924078574,1096.1054076430446,124.22066562243778,147.47084303042837,1.0,0.0,0.0,0.0,21267.060363,157.620003,49486.78406250817,717.0
128,0.0,323.04209045649634,0.0,0.0,0.0,92.625,0.0,0.0,1.0,0.0,17976.522157,157.620003,49486.78406250817,505.0
129,0.0,322.7654781802216,0.0,0.0,0.0,92.625,0.0,0.0,1.0,0.0,16123.60912,157.620003,49486.78406250817,505.0
130,0.0,322.49193974587735,0.0,0.0,0.0,92.625,0.0,0.0,1.0,0.0,15381.19817,157.620003,49486.78406250817,505.0
131,0.0,322.2214409955286,0.0,0.0,0.0,92.625,0.0,0.0,1.0,0.0,15828.6907,157.620003,49486.78406250817,505.0
132,0.0,321.9539481508186,0.0,0.0,0.0,92.625,0.0,0.0,1.0,0.0,17578.74782,155.58000299999998,49486.78406250817,505.0
133,13500.0,315.649,51.510123045266226,1470.4717008529988,261.87428091672354,98.82840004013637,1.0,0.0,0.0,0.0,20689.98934,155.58000299999998,52062.741031173435,515.0
134,16200.0,320.65100000000007,60.90256138852044,2155.1995821622986,453.6013497192657,81.1163077364637,1.0,0.0,0.0,0.0,23667.09749,155.58000299999998,52062.741031173435,416.0
135,21600.0,328.6639017935078,80.2229825653785,0.0,0.0,81.53462573174012,1.0,0.0,0.0,0.0,29396.9242,155.58000299999998,52062.741031173435,420.0
136,27000.0,330.649,100.99287437629687,3443.1752912671654,501.7011935403126,122.30910238798093,1.0,0.0,0.0,0.0,34480.6292,155.58000299999998,52062.741031173435,626.0
137,32400.0,340.649,121.14975824448005,3972.2448329499534,450.1710270961788,150.18595685687424,1.0,0.0,0.0,0.0,39575.2915,155.58000299999998,52062.741031173435,731.0
138,36450.0,340.649,137.89542465105643,3694.0579701733554,179.4190087023826,225.04387323786452,1.0,0.0,0.0,0.0,43790.0197,167.640003,52062.741031173435,936.0
139,40500.0,340.649,150.9430437303291,4899.509391490372,396.61221942869224,184.8759681583213,1.0,0.0,0.0,0.0,47713.8312,167.640003,54338.28864385447,838.0
140,41850.0,340.649,157.11109130112493,4564.297855050103,221.68623318520102,226.17481409999553,1.0,0.0,0.0,0.0,48733.4171,167.640003,54338.28864385447,940.0
141,43200.0,340.649,161.8791705015435,4790.8200049165225,232.68832895801268,226.4554400964718,1.0,0.0,0.0,0.0,50956.2303,167.640003,54338.28864385447,941.0
142,47250.0,340.649,176.10173247067272,5490.811773816122,266.68666636631804,227.2925110546642,1.0,0.0,0.0,0.0,54464.3168,167.640003,54338.28864385447,944.0
143,47250.0,340.649,176.10173247067272,5490.811773816122,266.68666636631804,227.2925110546642,1.0,0.0,0.0,0.0,54013.2185,167.640003,54338.28864385447,944.0
